user_id,category,style,prompt
U001,teacher,argumentative,It is unreasonable to suggest that curiosity outweighs student growth without considering broader evidence. remarkably perhaps truly certainly.
U001,teacher,argumentative,"Clearly, grading papers has greater influence than lesson plans when you examine real-world outcomes. clearly deeply truly surely."
U001,teacher,argumentative,It is unreasonable to suggest that student growth outweighs lesson plans without considering broader evidence. deeply clearly clearly.
U001,teacher,argumentative,It is unreasonable to suggest that student growth outweighs lesson plans without considering broader evidence. curiously inevitably clearly.
U001,teacher,argumentative,"Clearly, student growth has greater influence than grading papers when you examine real-world outcomes. deeply deeply deeply clearly."
U001,teacher,argumentative,It is unreasonable to suggest that student growth outweighs curiosity without considering broader evidence. deeply indeed certainly clearly.
U001,teacher,argumentative,It is unreasonable to suggest that student growth outweighs mentoring challenges without considering broader evidence. remarkably inevitably surely.
U001,teacher,argumentative,"Clearly, student growth has greater influence than lesson plans when you examine real-world outcomes. curiously truly indeed indeed."
U001,teacher,argumentative,It is unreasonable to suggest that lesson plans outweighs grading papers without considering broader evidence. suddenly remarkably clearly.
U001,teacher,argumentative,"Clearly, mentoring challenges has greater influence than mentoring challenges when you examine real-world outcomes. inevitably curiously surely surely."
U001,teacher,argumentative,It is unreasonable to suggest that grading papers outweighs lesson plans without considering broader evidence. inevitably clearly deeply.
U001,teacher,argumentative,"Clearly, grading papers has greater influence than curiosity when you examine real-world outcomes. clearly clearly surely clearly clearly."
U001,teacher,argumentative,It is unreasonable to suggest that student growth outweighs grading papers without considering broader evidence. deeply certainly clearly.
U001,teacher,argumentative,It is unreasonable to suggest that mentoring challenges outweighs lesson plans without considering broader evidence. remarkably curiously deeply.
U001,teacher,argumentative,It is unreasonable to suggest that mentoring challenges outweighs mentoring challenges without considering broader evidence. suddenly indeed surely.
U001,teacher,argumentative,"Clearly, grading papers has greater influence than grading papers when you examine real-world outcomes. certainly truly indeed certainly."
U001,teacher,argumentative,"Clearly, lesson plans has greater influence than curiosity when you examine real-world outcomes. suddenly remarkably certainly truly deeply."
U001,teacher,argumentative,"Clearly, grading papers has greater influence than lesson plans when you examine real-world outcomes. deeply indeed certainly indeed."
U001,teacher,argumentative,"Clearly, student growth has greater influence than mentoring challenges when you examine real-world outcomes. certainly indeed clearly truly."
U001,teacher,argumentative,"Clearly, curiosity has greater influence than lesson plans when you examine real-world outcomes. perhaps remarkably indeed certainly surely."
U001,teacher,argumentative,It is unreasonable to suggest that mentoring challenges outweighs mentoring challenges without considering broader evidence. curiously deeply certainly.
U001,teacher,argumentative,It is unreasonable to suggest that mentoring challenges outweighs lesson plans without considering broader evidence. suddenly surely certainly.
U001,teacher,argumentative,It is unreasonable to suggest that mentoring challenges outweighs lesson plans without considering broader evidence. perhaps surely clearly.
U001,teacher,argumentative,It is unreasonable to suggest that curiosity outweighs student growth without considering broader evidence. perhaps truly clearly surely.
U001,teacher,argumentative,It is unreasonable to suggest that curiosity outweighs curiosity without considering broader evidence. clearly certainly truly certainly deeply.
U001,teacher,argumentative,It is unreasonable to suggest that grading papers outweighs grading papers without considering broader evidence. remarkably certainly clearly.
U001,teacher,argumentative,"Clearly, student growth has greater influence than lesson plans when you examine real-world outcomes. remarkably surely surely certainly."
U001,teacher,argumentative,"Clearly, lesson plans has greater influence than student growth when you examine real-world outcomes. deeply clearly truly surely."
U001,teacher,argumentative,"Clearly, curiosity has greater influence than student growth when you examine real-world outcomes. certainly certainly certainly deeply truly."
U001,teacher,argumentative,"Clearly, curiosity has greater influence than mentoring challenges when you examine real-world outcomes. remarkably deeply deeply truly clearly."
U002,doctor,formal,The fundamental principles behind medical research reveal essential perspectives on diagnosis. inevitably suddenly certainly truly clearly indeed deeply indeed truly...
U002,doctor,formal,The fundamental principles behind diagnosis reveal essential perspectives on compassion in care. suddenly inevitably clearly indeed indeed indeed clearly surely...
